Operation{num1=3.0, num2=6.0, result=9.0, type='sum'}
Operation{num1=5.0, num2=8.0, result=13.0, type='sum'}
Operation{num1=6.0, num2=9.0, result=15.0, type='sum'}
Operation{num1=7.0, num2=1.0, result=8.0, type='sum'}
Operation{num1=99.0, num2=33.0, result=66.0, type='sub'}
Operation{num1=33.0, num2=11.0, result=3.0, type='div'}
Operation{num1=26.0, num2=76.0, result=1976.0, type='mult'}
Operation{num1=2.0, num2=4.0, result=6.0, type='sum'}
Operation{num1=4.0, num2=7.0, result=-3.0, type='sub'}
Operation{num1=5.0, num2=2.0, result=2.5, type='div'}
Operation{num1=6.0, num2=6.0, result=36.0, type='mult'}
